question,answer,Try_to_vary_your_vocabulary_using_accurate_synonyms,Use_less_common_question_specific_words_that_accurately_convey_meaning,Check_your_work_for_spelling_and_word_formation_mistakes,score
"The bar chart below describes some changes about the percentage of people were born in Australia and who were born outside Australia living in urban, rural and town between 1995 and 2010.Summarise the information by selecting and reporting the main features and make comparisons where relevant.","Between 1995 and 2010, a study was conducted representing the percentages of people born in Australia, versus people born outside Australia, living in urban, rural, and town. First, in 1995, cities represented the major percentage of habitat by roughly 50 percent, followed by rural areas and towns came in last, among people born in Australia. On the other hand, people born outside Australia, cities showed the most percentages of 6o percent, followed by rural areas and towns. In 2010, among people born in Australia, cities had an increase more than 20 percent increase in the total representation and a major decrease in towns and rural areas. Conversely, people born outside Australia, cities had the most percentage among both studies, followed by rural areas and towns.",No,No,yes,5.5
"Do you agree or disagree with the following statement? Providing Internet access is just as important as other services, such as building roads, so governments should offer Internet access to all of their citizens at no cost.","Today, the Internet serves as our maps, our encyclopedias, and sometimes, our lifelines for social interactions, so the internet is crucial in shaping people's lives. I think the accessibility of the internet is vitally similar to other public utilities so the government should encourage people with free internet access. This step helps to improve educational services and employment opportunities.

In the first place, although public transportation aids in the commuting process, free internet enables people to increase their knowledge. Folks can utilize the facilities on the internet to pursue their dreams. For example, Cloie, one of my friends dropped out of college due to unaffordability, However, in Mexico government's experimental plan of giving the internet to the public gave her an opportunity to continue her studies online. She enrolled in the arts program in People College and attended classes online because of interrupted internet services, so if the internet services are free students like Cloie can get access to education with nominal fees.

In the second place, people will enhance their lives with better opportunities if they have the internet than infrastructure facilities. This means the internet contains an abundance of information regarding job postings and skills needed for acing interviews. For example, when I was in Jampet, our society was not equipped with facilities except roads. However, with crowd funding young people in my area provided free internet access to fellow people. As a result, many of the youth used internet for filling the job applications and learned skills from the internet. Thereby, they not only acquired skills for jobs but also participated in interview process. Thus, free internet provided our area people with better job placements and acquired skillsets for their careers. So, if government considered the plan of providing internet without any charge people would improve their lives with better possibilities.

In essence, I think government should provide free internet access for educational and employment purposes for enhancing people's lives, so I agree with the statement. ",No,,yes,5.5
The Effect of Heat Input of GTAW Process on the Microstructure of the Heat Affected Zone in AISI D2 tool steel,"AISI D2 is the most commonly used high-carbon and high-chromium cold-work tool steel. It has many attractive properties such as high wear resistance, high compressive strength, and high hardness after hardening which can be an advantage for a variety of industrial applications such as mill rolls, blanking dies, and punches. The steels of this group are considered as the most alloy steels [1]. Although these steels have the same chemical composition as stainless steels because of their high chromium contents they are prone to corrosion cause of the lower percentage of nickel than stainless steels[2]. Furthermore, they have higher hardness compared to stainless steel given their high percentage of carbon [1]. These steels are usually subject to heavy loads and abrasion. Surface defects because of wear, corrosion, and other degradation mechanisms will make these expensive tools leave the production cycle and impose heavy costs on industries. These steels obtain desirable abrasion properties from the presence of large values of carbon, chromium, and other alloying elements such as vanadium and molybdenum. however, the existence of these alloying elements in steel increases the hardness because of carbide formation that besides the advantages makes this steel weak in welding. The existence of large-scale cold cracks for these steels and the loss of dimensional accuracy are among the reported problems in welding parts made of this type of steel [3]. Preheating is necessary for welding these steels and it causes of reduces the thermal gradient between the weld zone and the heat affected zone, thereby reducing cracking, hardness and residual stresses in the HAZ are affected by reducing the cooling rate. Moreover, it prevents high heat shock due to welding [4]. Input heat is one of the most important welding parameters and the most effective element on the width and coarseness of the HAZ. Any change in this factor directly affects the HAZ. The input heat affects the grain growth in the area near the melting line. Moreover, the structure of the grains affects the strength, toughness, flexibility, and corrosion resistance of the alloy. Welding leads to internal stresses in the part that can be destructive and have adverse effects on the performance of the part. These internal stresses could result in warping, cracking (dimensional distortion), and even breaking of the part at stresses much lower than the stresses that the part is designed to withstand. PWHT increases the life of the part and its strength by eliminating or reducing internal stresses and reducing stiffness [5]. Thus, a correct understanding of the effects of input heat on the microstructure and properties of welded specimens is important. By observing the principles of heat treatment and performing pre-heating and post-heat at the proper temperature and welding with controlled heat and precise control of all welding parameters and variables, a good weld can be reached",No,No,No,5
"The first man to walk on the moon claimed it was a step forward for mankind. However, it has made little difference in most people’s lives. To what extent do you agree or disagree?","Discovering the space is a great invention for human beings. Nevertheless it has had few effects in lifestyles. In my opinion, although discovering space is a great invention, people's incomes is not influenced by the space exploration and technologies.

Many industries such as mechanics, electronics, and so on are assembled in a high tech instrument namely spacecraft, so, every country having this high-tech technology can develop it's industry more and earn more money by selling facilities and services. It is argued that science brings out welfare.

Astronomical science is very specific feild and few people are dealt with space survey. Most people have regular jobs which are not related to space exploration or very state of the art technologies. Having said that welfare is related to relationships of countries, trade, war, and other resources which have direct effects on the people's life. 

*In conclusion, space exploration is an achievement for human, thereby has it's effects on the societies.",No,No,Yes,6
write a paragraph about one of your favorite celebrations,"Christmas is undoubtedly my favorite holiday! Christmas is writhing with family to me. Christmas was originally observed on December 25th to commemorate the birth of Jesus. We frequently adorn their houses with lights, Christmas trees, and other decorations in the weeks leading up to Christmas, in preparation for the special dinner of the day. Furthermore, youngsters will be hanging their Christmas stockings in the hopes of receiving some nice presents from Santa Claus. Everyone goes to church after supper and prays to God, admitting their faults and afflictions, as well as their wishes for health and happiness. On Christmas Eve, many schools and businesses are closed so that family may spend time together. The most well-known icon is Santa Claus, an elderly guy with long white hair, a beard, and a red cloak who is trusted by children to bring us gifts at Christmas. // Perhaps one of the most significant holidays is Christmas, when everyone comes together and relaxes after a year of hard work. When I'm with my family, this year's Christmas has a special meaning for me. And I'm ecstatic, my darling. Christmas is a wonderful time of year! ",No,Yes,Yes,6.5
"Some people think that the government should provide assistance to all kinds of artists including painters, musicians and poets. However, other people think that this is a waste of money. Discuss both views and give your opinion.","Many people lives are richer because of their art which they express to community. Many individual believe that the government should provide funds to artist while other believe that it is unfair. This essay analyse both the perspectives.

To begin with former views, there are many points that authority should help artists. Artists are contribute to nation by their art. Creativity is having in every person by their born but to elaborate it is a vital thing for any individual and all artist do that. At the end, they serve their creativity to their community for entertain perpose. Additionally, artist represent their culture by their art so, they become ambassador of their nation. For an example, painters represent their art by emboss as well as sculpture represent by carving and engraving and could be popular worldwide and express their tradition.

Moving to a latter view counter of former view having a strong reasons. Government should firstly focus on basic need for developing country. Individual's primary need is accommodation shelter and food yet, many individual has not get it. For well being life of human is a foremost priority for authority and still thye focus on other art instead this primary things. Additionally, they should also focus on infrastructure development. Nation want to add their name in developed country, foremost of it is developed their urban, ruler and their transportation by providing more found in it.

To conclude and my opinion is, although the art is part of culture and feelings of individual, providing a primary need of citizen is essential for any country. ",No,No,Yes,5.5
"Memorization of information by frequent repetition, namely Rote learning play a role in many education","There are three ingredients in the good life learning, earning and yearning. Some people believe that acquire knowledge through cramming is essential in a plethora of academies. But, others thought that meaningful understanding is crucial as compared with rote learning. Both arguments have their own pros and cons and I shall discuss my view points in upcoming paragraphs.

To begin with, first and foremost reason is that with the help of rote studying people can easily gain cognizance. Secondly, individuals can learn things through grasping such as pupils remember a script of play and recollect the mobile number. Finally, youngsters cram physics equations, mathematics formulas because it is illogical to study these type of definitions bye heart. Some juveniles use cramming to learn exams.

On the other hand, every garden has weeds. Firstly, teenagers never use rote learning for longer terms. Secondly, if children do not recall the things again and again then infants f forget whole material. Lastly, communities never utilize rote learning in some situations because when people cram all the data mixed in mind and people get confused.

Probing ahead with meaningful understanding, teenagers who understand the whole information they never forget in lifetime. Moreover, meaningful learning is a must if a person want to achieve something in life. In addition, education system prefer both ways of teaching.

To sum up, I would like to reiterate that due to the rote learning societies forget things if they never recall. However, meaningful knowledge is important because with these humans can use for long time. ",No,No,Yes,5.5
Individuals can do nothing to improve the environment; only governments and large companies can make a difference.,"The responsibility of environmental conservation has sparked an intense discussion among the community. Some say that citizens could not pay any effort to help improve the situation while governments and big organisations can make a giant leap to alleviate the problem. In fact, we all should work collectively in different aspects of life to achieve the same goal. Individuals could be environmentally friendly and contribute in their daily lives. Recycling, replacing and reducing are great examples to demonstrate how we can play a part in protecting the planet. In our everyday lives, we can recycle papers, plastic containers, metal cans and so on. Besides, when we are doing shopping for groceries, books or clothes, we could always use reusable bags and buy goods with less unnecessary wrapping. With all these small actions, everyone in the society can make a change to conserve our natural environment. On the other hand, governments and large corporations could work on a higher level to enhance the environment. For example, many governments have imposed plastic bag levy to reduce its use and we can see some efficacy from this move. Also, companies could sell goods with less extra packaging and import fresh produces or goods from sustainable sources. Implementation of new laws by governments could make organisations do businesses in such a way that brings less harm to the planet. In conclusion, I disagree that only governments and huge corporations could make a change to preserve the natural environment. Instead, we should work and contribute together in both daily life, legislative changes and manufacturing processes to achieve environmental conservation. ",No,No,Yes,5.5
"Nowadays, protection of environment has been one of the critical issues for human being.","Nowadays, protection of environment has been one of the critical issues for human being. The protection of our future must be realised only with the ensurence of preservation of nature. However, environmetal problems ranges quite wide from pollution of air, water and soil to destruction of nature as deforestation and desertification. Therefore, some say that individuals has no influence over the solution of these issues and that government and large companies must be attributed. In my opinion, all of them, that is, individuals, government and large commercial companies are responsible in improving the environment. I will discuss this in this essay. First of all, the influence of individuals is not negligible. The cumulative, mass opinion must play important role over its government in policy desicion. The government would lagislate against air/water pollution or destrustion of nature which in turn does not allow commercial companies act against law. If individuals are not concerned of environment, government would allow companies' commercial activities without any sanction against destruction of nature. In 1960s when Japanese economy was thriving rapidly, a lot of companies developed its factories and manufactured its product ignoring environmental effect. In the result, some companies caused serious pollution which killed thousand of innocent people. Now there are strict regulations in Japan to prevent companies from causing serious environmental problems. To sum up, all these three factors; observation of citizens, rule of law, action of company are indispensable for the improvement of environment. If even one of them is missing other two would not fanction.",No,No,Yes,5.5
"For the last few years, children's children’s development has been a very concerned problem.","For the last few years, children's children’s development has been a very concerned problem. While parents are supposed to be responsible for their kid's daily exercises so school time should not be wasted on sports lessons, I disagree with the above opinion. I believe that schools play the mót most significant role in instructing children to do physical exercises.

At the outset, obviously, mother and father are people who love their children than anyone else. Therefore, they want to do everything for their kids including teaching them how to do physical exercises. However, they can not be always the best teachers in that field. To develope comprehensively, children should study from well-qualified teachers. Although, today, parents are able to learn about physical activities on YouTube, Facebook or take part in courses, sometimes, they may teach the their kids the wrong actions, which leads to the abnormal development of children.

If schools spend time on sport lessons, children can improve their particular skills and necessary knowledge. According to the WSJ, a very famous newspaper of USA, most children who are taught sports by teachers at schools can develop better than children who are only taught by their parents. Moreover, sports help to improve children's abilities to focus on their studies, remember lessons longer and practice better in life. Therefore, it is a not wasted of time to let children study the physical exercise in schools. Kids need to develop both their minds and their bodies at the same time.

To sum up, the physical education in schools should need to be taught in schools. Children always need to learn the best directions and to have the best conditions and environments to grow up healthy. ",No,No,Yes,5.5
